#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
   xoshiro128**|  2.57e+08  |1185936707|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.84291091|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.08482814|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.82869762|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.92554490|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.25474404|  PASSED  
        diehard_opso|   0|   2097152|     100|0.98233910|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.97171206|  PASSED  
         diehard_dna|   0|   2097152|     100|0.62536621|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.62401850|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.94258249|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.41559726|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.36589075|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.79645609|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.32100528|  PASSED  
        diehard_sums|   0|       100|     100|0.02011078|  PASSED  
        diehard_runs|   0|    100000|     100|0.78506153|  PASSED  
        diehard_runs|   0|    100000|     100|0.96427445|  PASSED  
       diehard_craps|   0|    200000|     100|0.26063036|  PASSED  
       diehard_craps|   0|    200000|     100|0.66868347|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.40572031|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.34443099|  PASSED  
         sts_monobit|   1|    100000|     100|0.44089350|  PASSED  
            sts_runs|   2|    100000|     100|0.74488468|  PASSED  
          sts_serial|   1|    100000|     100|0.60439181|  PASSED  
          sts_serial|   2|    100000|     100|0.90409044|  PASSED  
          sts_serial|   3|    100000|     100|0.80794735|  PASSED  
          sts_serial|   3|    100000|     100|0.97659402|  PASSED  
          sts_serial|   4|    100000|     100|0.94927099|  PASSED  
          sts_serial|   4|    100000|     100|0.25571419|  PASSED  
          sts_serial|   5|    100000|     100|0.71195586|  PASSED  
          sts_serial|   5|    100000|     100|0.87843923|  PASSED  
          sts_serial|   6|    100000|     100|0.80221501|  PASSED  
          sts_serial|   6|    100000|     100|0.50140042|  PASSED  
          sts_serial|   7|    100000|     100|0.99994181|   WEAK   
          sts_serial|   7|    100000|     100|0.27764242|  PASSED  
          sts_serial|   8|    100000|     100|0.81253368|  PASSED  
          sts_serial|   8|    100000|     100|0.91462798|  PASSED  
          sts_serial|   9|    100000|     100|0.91534708|  PASSED  
          sts_serial|   9|    100000|     100|0.69710444|  PASSED  
          sts_serial|  10|    100000|     100|0.53105051|  PASSED  
          sts_serial|  10|    100000|     100|0.46324512|  PASSED  
          sts_serial|  11|    100000|     100|0.60647480|  PASSED  
          sts_serial|  11|    100000|     100|0.38977642|  PASSED  
          sts_serial|  12|    100000|     100|0.49535241|  PASSED  
          sts_serial|  12|    100000|     100|0.09243705|  PASSED  
          sts_serial|  13|    100000|     100|0.74935655|  PASSED  
          sts_serial|  13|    100000|     100|0.79911536|  PASSED  
          sts_serial|  14|    100000|     100|0.37954443|  PASSED  
          sts_serial|  14|    100000|     100|0.91502930|  PASSED  
          sts_serial|  15|    100000|     100|0.85556267|  PASSED  
          sts_serial|  15|    100000|     100|0.70970568|  PASSED  
          sts_serial|  16|    100000|     100|0.21975316|  PASSED  
          sts_serial|  16|    100000|     100|0.10331794|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.97311850|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.66665487|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.49282409|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.88186567|  PASSED  
