#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
  xoroshiro64**|  2.78e+08  |2793163310|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.45676070|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.12440701|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.04641021|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.15452784|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.33684589|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.21199219|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.64139103|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.67685479|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.94317734|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.48307079|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.82545636|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.27188747|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.62995249|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.43308658|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.05873399|  PASSED  
             dab_dct| 256|     50000|       1|0.27112445|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.03612522|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.40417375|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.23049923|  PASSED  
Preparing to run test 210.  ntuple = 0
