#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
         wyrand|  8.44e+07  |2518785503|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.34614611|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.10265282|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.88258796|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.57812684|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.72705803|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.44454409|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.01527942|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.67574420|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.51400216|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.28346340|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.21795804|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.11181722|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.16735856|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.06899482|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.79424580|  PASSED  
             dab_dct| 256|     50000|       1|0.00637720|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.17939626|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.43015841|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.05391969|  PASSED  
Preparing to run test 210.  ntuple = 0
